reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0b5cceaf-a57c-4123-9a96-c6721938d9f5,Mar'iy muslih,https://play-lh.googleusercontent.com/a-/AD5-WCn4WIyEmkAuDo5TpHbaEkNozfUE3KKfeQCG7Jqs7g,Unsatisfied apps and program.,1,0,6.2.1,2022-12-22 01:25:38,"Hai Kak Mar'iy, thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us through DM Instagram @academybinar.",2022-12-23 02:26:38
ffe9afce-c90f-4c7c-a7b1-73172075c459,Arga Dinata,https://play-lh.googleusercontent.com/a/AEdFTp4I5unGQJf3colw4g9AwSeXDM-p04h-RxuC4OoK=mo,"Beli Binar Go, pembayaran sudah terdebet dari kartu kredit, tapi status masih pending. Sudah chat via WA menunggu 24 jam tidak ada respon.",1,0,6.2.0,2022-12-10 13:02:02,"Hai Kak Arga Dinata, Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us through DM Instagram @academybinar.",2022-12-11 02:26:17
a8a2ff19-581f-42a4-be97-c32d0202f7c7,Ara Wibowo,https://play-lh.googleusercontent.com/a-/AD5-WClHdR917L8BDyW9kqjhXXqcu-BF29ykTpc6czLz5A,"Specifically this review is for BinarGO. Overall, the courses are great and i learnt alot, but I also experienced difficulties. Some of the text content did not load and so i couldn't complete my learning process. please fix this soon. Thank you 🙏",3,0,6.2.0,2022-12-06 04:59:42,"Hai Kak Ara Wibowo, Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us through Whatsapp at 0811-993-002.",2022-12-10 08:18:44
6d450673-4617-4626-b103-3749a755ce6e,Rory Mercury,https://play-lh.googleusercontent.com/a/AEdFTp4Flfg-ZRjHjTXaSM9yBemAEK3eTX8zTKh67GMP=mo,Yes its good app i like to lern more about digytal skill,5,0,6.1.1,2022-11-16 05:09:28,"Hai Kak Roy Mercury, terima kasih sudah berkontribusi memberikan bintang 5 untuk aplikasi Binar Academy! Semoga kegiatan belajar kamu bersama Binar Academy selalu menyenangkan ya! 😊",2022-11-17 02:56:37
06aa2052-8cc8-4118-a954-cefe9c35b17e,Nadia Dwiariani,https://play-lh.googleusercontent.com/a/AEdFTp4Gc-lND-PeMcRGEWPMQQnNuoYac6y6uJL6JY8t23Y=mo,Can't login,2,0,6.0.0,2022-11-08 07:39:56,We apologize for the inconvenience. Can you be more specific please so that we can identify the issue? Don't hesitate to reach out to us at +62811993002. 🙏,2022-11-11 03:15:56
a31ea2f2-5e2d-4d18-bb7d-a846b901498c,Ardelia Novalista Amanda Trouerbach,https://play-lh.googleusercontent.com/a-/AD5-WCmVwr2ymHwVroKXe3DJVyKaYUz94deDLZ5cVzGySTU,Mohon diperbaiki lagi.. UI sudah bagus tetapi masa setiap buka aplikasi harus selalu login terus,3,0,6.0.0,2022-11-06 03:47:53,"Hai Kak Ardelia Novalista Amanda, Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us through Whatsapp at 0811-993-002.",2022-11-06 08:30:25
f810320b-89a4-4482-bc02-ed2581ac4168,M Umar Al Fajar,https://play-lh.googleusercontent.com/a-/AD5-WCkb-sNnQJ-LtFDJZSW4O1TjXtT3hSEsrJ5GzLTn2A,"1 star: can't register with google, long buffering. When I try to register with normal method, it says my email already registered. Then I tried to login with google, but the button can't be pressed. Update: Somehow I managed to login after I checked my email and opened email verification. I pressed the verification button and when the web app opened it says verification timeout and guide me to the Binar App. When the App opened, I already login. Very bad user experience.",3,0,6.0.0,2022-10-29 01:59:43,"Hai Kak, Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us through Whatsapp at 0811-993-002.

",2022-10-29 04:16:14
40dfdc72-c20e-410f-994d-da6869c8333d,fn Kamal,https://play-lh.googleusercontent.com/a-/AD5-WCn2H71toJL_b1RJdoicihHMercYk8xLW8s5joMfuA,"Apakah update ini di QA dlu? Saya belajar QA dari apps ini, namun penggunaannya di aplikasi sendiri masih meragukan. Update terbaru tidak bisa login pakai ""sudah punya akun"" karena tombol ""lanjutkan dengan Google"" tidak bisa di klik.",1,0,6.0.0,2022-10-24 00:19:48,"Halo Kak Fachry, terima kasih untuk feedbacknya dan mohon maaf atas ketidaknyamanannya. Apakah kakak bersedia untuk membagikan kendalanya ke kami lebih detail agar kami dapat bantu menyelesaikannya? Kakak dapat hubungi kami lewat Whatsapp di 0811-993-002 ya. Kami tunggu 🙏😊",2022-08-22 05:02:54
d241089e-6a33-4781-8e10-386b1f87c9f1,Junaidy,https://play-lh.googleusercontent.com/a-/AD5-WClH4QVT--nIDEhv3ysJIWoxN1-8eP0aR7pG5VMZWg,"After updating to version 6.0.0, suddenly the courses that I had been working on until chapter 4 (gold) suddenly reset to silver badge. Please fix it soon!",2,0,6.0.0,2022-10-22 05:42:08,"Hai Kak, terima kasih untuk feedbacknya dan mohon maaf atas ketidaknyamanannya. Apakah kakak bersedia untuk membagikan kendalanya ke kami lebih detail agar kami dapat bantu menyelesaikannya. Kakak dapat hubungi kami melalui Whatsapp di 0811-993-002.",2022-10-24 07:33:21
0bfcfd00-1db2-4ed3-8dc2-b4ab2c99c53b,Riki Oktavian,https://play-lh.googleusercontent.com/a-/AD5-WCnSL5DNJhZPwUkatI04mzy12h6ZX0OymJO3QCOL,Login aja susah gak bisa bisa,1,0,6.0.0,2022-10-21 15:43:31,"Hai Kak, Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us through Whatsapp at 0811-993-002.",2022-10-22 07:43:44
13926c0c-bdf1-4857-81e2-fd1e19d81a12,Arisa Andilau,https://play-lh.googleusercontent.com/a/AEdFTp49-6wfdPWlxodJGUAnBpmPJIArZhsrcum3tfQB=mo,"Overall sudah bagus, akan lebih baik jika ada menu untuk rekomendasi kelas atau training di luar tema yg sdh ada",5,0,5.3.5,2022-10-11 11:36:16,"Hai Kak Arisa, terima kasih sudah berkontribusi memberikan bintang 5 untuk aplikasi Binar Academy! Semoga kegiatan belajar kamu bersama Binar Academy selalu menyenangkan ya! 😊",2022-10-13 07:34:59
656add08-efe9-4108-9029-159f7dda584a,Lia Na,https://play-lh.googleusercontent.com/a/AEdFTp53J2tHQ7VyCtS33k1UMf-colNzM4UKvduaB_cB=mo,"Binar go itu klo bisa informasi sisa paket nya itu hari terakhir bisa akses binar go nya dung. Paket saya berakhir kemarin, tp ditulisnya tanggal hari ini. Padahal hari ini mau review sekali lagi. Mana harga ny naik 3x lipat biarpun udah promo",1,0,5.3.5,2022-10-09 03:48:38,"Hai Kak, Thank you for your feedback and we are deeply sorry for the inconvenience. Can you please share the problem with us in more detail so that we can improve our app. Please contact us through Whatsapp at 0811-993-002.",2022-10-09 08:02:48
4c3c4e41-cc39-4a94-9864-2b315022b2a6,Muhammad Yasyril Mumtaz,https://play-lh.googleusercontent.com/a/AEdFTp7-y815hWTN7yahnROWiihOWD4iEkp1mK0fO9RopA=mo,Ini mah tolong bgt dibuat desktop versionnya :( Mau belajar serius tapi pake HP kecil bgt :(( Belum lagi tiba2 muncul notif dari doi jadi terdistract :(,2,0,5.3.5,2022-10-07 06:53:05,"Hai Kak, terima kasih untuk feedbacknya dan mohon maaf atas ketidaknyamanannya. Apakah kakak bersedia untuk membagikan kendalanya ke kami lebih detail agar kami dapat bantu menyelesaikannya. Kakak dapat hubungi kami lewat Whatsapp di 0811-993-002.",2022-10-08 09:35:50
11a636f1-d9e2-4203-902c-5d7cadde1875,Agung Kristanto,https://play-lh.googleusercontent.com/a-/AD5-WCkIxjtbg18WmV3pTcg3I9XVHNAi3MiD4XiXeGH6,Response time lama ketika pindah dari halaman materi. Loading animasi tidak ada saat pindah halaman materi. UX perlu ditingkatkan.,5,0,5.3.4,2022-09-30 13:45:35,"Hai Kak Agung, terima kasih untuk feedbacknya dan mohon maaf atas ketidaknyamanannya. Apakah kakak bersedia untuk membagikan kendalanya ke kami lebih detail agar kami dapat bantu menyelesaikannya. Kakak dapat hubungi kami lewat Whatsapp di 0811-993-002.",2022-06-26 09:21:52
c4151284-635e-45e4-9198-6b53c49441c5,Thareeq Arsyad,https://play-lh.googleusercontent.com/a-/AD5-WCmgLbGXYhZBGf_Zo4jh_qpeymX_RyWq9hVH-arNRQ,"Aplikasinya bagus, tp render materi lamaa bangeet butuh lebih dari 15 detik",4,0,5.3.2,2022-09-04 04:48:03,"Hai Kak Thareeq, terima kasih buat masukannya. Performa aplikasi Binar akan terus kami tingkatkan, mohon berkenan menunggu dan cek secara berkala ya. Selamat belajar! 🙏😊",2022-09-05 05:14:11
